Documentos;Termos;Termos Log
10000;188598;17,52495485
20000;321691;18,29531605
30000;435186;18,73127262
40000;532788;19,02320206
50000;635274;19,27701945
60000;718545;19,45471898
70000;799214;19,60822233
80000;879624;19,74652744
90000;959349;19,87169622
100000;1035567;19,98198947
110000;1107175;20,07845184
120000;1176132;20,16561856
130000;1237757;20,23929668
140000;1302911;20,31330711
150000;1364313;20,37974323
160000;1418325;20,43575672
170000;1468208;20,48562494
180000;1524165;20,53958766
190000;1582807;20,59405392
200000;1641526;20,64660617
210000;1700196;20,69726964
220000;1752942;20,74134683
230000;1812949;20,78990691
240000;1866393;20,83182137
250000;1922159;20,87429625
260000;1978154;20,91572331
270000;2038395;20,95900221
280000;2091720;20,99625831
290000;2150250;21,03607297
300000;2199757;21,06891273
310000;2245388;21,09853333
320000;2292492;21,12848527
330000;2343652;21,16032693
340000;2393176;21,19049507
350000;2440117;21,21851889
360000;2493337;21,24964646
370000;2539375;21,27604203
380000;2588120;21,30347308
390000;2636432;21,33015536
400000;2685197;21,35659651
410000;2733024;21,3820667
420000;2780456;21,40689008
430000;2823705;21,42915794
440000;2857982;21,4465654
450000;2898650;21,46694971
460000;2940566;21,48766244
470000;2981490;21,50760207
480000;3024298;21,52816887
490000;3068090;21,54890937
500000;3112783;21,56977358
510000;3160816;21,59186562
520000;3204299;21,61157734
530000;3250748;21,63234029
540000;3297269;21,65284016
560000;3384465;21,69049637
570000;3428097;21,7089765
580000;3470036;21,7265192
590000;3511977;21,74385197
600000;3555181;21,76149158
610000;3595709;21,77784484
620000;3635192;21,79360013
630000;3680709;21,81155226
640000;3718482;21,82628236
650000;3750040;21,83847455
660000;3782721;21,85099294
670000;3816187;21,86370044
680000;3851960;21,87716129
690000;3885896;21,88981586
700000;3919112;21,90209537
710000;3952756;21,91442747
720000;3988603;21,9274521
730000;4022428;21,93963517
740000;4057071;21,95200712
750000;4092830;21,96466731
760000;4126381;21,9764456
770000;4167194;21,99064483
780000;4199670;22,00184454
790000;4232801;22,01318123
800000;4263227;22,02351444
810000;4297128;22,03494132
820000;4329101;22,04563603
830000;4362299;22,05665723
840000;4393804;22,06703908
850000;4419810;22,07555292
860000;4450025;22,08538201
870000;4483142;22,09607877
880000;4515241;22,10637156
890000;4548800;22,11705457
900000;4584392;22,12829898
910000;4619543;22,13931871
920000;4653917;22,15001405
930000;4692811;22,16202093
940000;4735952;22,17522303
